product_asin,date_clean,daily_count,daily_avg_rating,daily_spam_count
B018Y229OU,"June 10, 2016",3,4.333333333333333,0
B018Y229OU,"March 17, 2017",3,5.0,0
B018Y229OU,"May 17, 2017",3,5.0,0
B018Y229OU,"May 20, 2016",3,5.0,0
"B00L9EPT8O,B01E6AO69","October 19, 2016",3,4.666666666666667,1
B00OQVZDJM,"February 24, 2017",3,4.666666666666667,0
B00OQVZDJM,"January 06, 2016",3,4.333333333333333,0
B018Y229OU,"November 06, 2015",3,5.0,0
B018Y229OU,"November 11, 2015",3,4.333333333333333,0
B018Y229OU,"November 18, 2016",3,4.333333333333333,0
B018Y229OU,"October 19, 2016",3,3.3333333333333335,0
B018Y229OU,"September 17, 2016",3,4.333333333333333,0
B018Y22BI4,"January 16, 2017",3,4.666666666666667,0
"B018SZT3BK,B01AHB9CN","December 14, 2016",3,4.333333333333333,0
"B018SZT3BK,B01AHB9CN","December 25, 2016",3,4.666666666666667,0
"B018SZT3BK,B01AHB9CN","January 30, 2017",3,4.666666666666667,0
"B018SZT3BK,B01AHB9CN","October 28, 2016",3,5.0,0
B00U3FPN4U,"August 18, 2017",3,4.666666666666667,0
B00U3FPN4U,"August 26, 2016",3,4.333333333333333,0
B00U3FPN4U,"December 13, 2016",3,5.0,0
B00U3FPN4U,"December 14, 2016",3,4.666666666666667,0
B018Y22BI4,"June 17, 2016",3,4.666666666666667,0
B018Y22C2Y,"December 23, 2016",3,5.0,0
B018Y22C2Y,"December 31, 2016",3,5.0,0
B018Y22C2Y,"February 04, 2017",3,5.0,0
B018Y22C2Y,"March 25, 2017",3,5.0,1
B018Y22C2Y,"May 12, 2017",3,4.0,0
B018Y22C2Y,"November 11, 2016",3,3.3333333333333335,0
B018Y22C2Y,"September 06, 2016",3,4.666666666666667,0
B018Y22C2Y,"September 30, 2016",3,5.0,0
B018Y23MNM,"April 14, 2017",3,4.333333333333333,1
"B00L9EPT8O,B01E6AO69","June 16, 2017",3,3.3333333333333335,0
"B00L9EPT8O,B01E6AO69","March 10, 2017",3,5.0,0
"B00L9EPT8O,B01E6AO69","March 11, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","May 05, 2017",3,4.333333333333333,0
"B00L9EPT8O,B01E6AO69","May 26, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","May 28, 2016",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","November 04, 2016",3,5.0,0
"B00L9EPT8O,B01E6AO69","November 26, 2016",3,5.0,0
B018Y23MNM,"December 07, 2016",3,4.333333333333333,0
B018Y23MNM,"December 13, 2016",3,4.666666666666667,0
B018Y23MNM,"December 15, 2016",3,4.333333333333333,0
B018Y23MNM,"December 19, 2016",3,5.0,0
B00U3FPN4U,"May 19, 2017",3,5.0,0
B00U3FPN4U,"May 27, 2016",3,4.666666666666667,0
B00U3FPN4U,"November 16, 2016",3,5.0,0
B00U3FPN4U,"October 01, 2016",3,5.0,0
B00U3FPN4U,"October 19, 2016",3,5.0,0
B00U3FPN4U,"October 21, 2016",3,4.666666666666667,0
B00U3FPN4U,"September 09, 2016",3,5.0,0
B010CEHQTG,"December 01, 2017",3,5.0,0
B010CEHQTG,"December 02, 2017",3,5.0,0
B010CEHQTG,"December 22, 2017",3,5.0,0
B010CEHQTG,"January 17, 2018",3,4.666666666666667,0
B018SZT3BK,"June 05, 2017",3,4.333333333333333,0
"B018SZT3BK,B01AHB9CN","April 03, 2017",3,4.666666666666667,0
B018Y23MNM,"February 13, 2017",3,4.333333333333333,0
B018Y23MNM,"January 31, 2017",3,4.666666666666667,0
B018Y23MNM,"March 10, 2017",3,5.0,0
B018Y23MNM,"March 26, 2017",3,5.0,0
B018Y23MNM,"May 12, 2017",3,4.666666666666667,0
B018Y23MNM,"May 17, 2017",3,4.333333333333333,0
B018Y23MNM,"November 17, 2016",3,5.0,0
B01AHB9CN2,"May 17, 2017",3,5.0,0
B01AHB9CN2,"October 29, 2016",3,4.666666666666667,0
B01AHBBG04,"December 31, 2016",3,4.333333333333333,0
B01BFIBRIE,"September 01, 2017",3,5.0,0
B00U3FPN4U,"July 21, 2017",3,4.666666666666667,0
B00U3FPN4U,"July 28, 2017",3,5.0,0
B00U3FPN4U,"June 03, 2016",3,4.666666666666667,0
B00U3FPN4U,"March 03, 2017",3,5.0,0
B00U3FPN4U,"March 14, 2016",3,4.666666666666667,0
B018Y23MNM,"November 25, 2016",3,4.666666666666667,0
B018Y23MNM,"September 30, 2016",3,4.666666666666667,0
B01ACEKAJY,"March 10, 2017",3,5.0,0
B01AHB9CN2,"April 03, 2017",3,5.0,0
"B00L9EPT8O,B01E6AO69","January 07, 2017",3,5.0,0
"B00L9EPT8O,B01E6AO69","January 13, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","July 01, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","July 17, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","July 20, 2017",3,4.333333333333333,0
B01AHB9CN2,"December 14, 2016",3,4.666666666666667,0
B01AHB9CN2,"December 25, 2016",3,4.666666666666667,0
